time,Q_total,dp_series,eva1.Qb_flow,eva1.T,eva1.U,eva1.level,eva1.m,eva1.p,eva2.Qb_flow,eva2.T,eva2.U,eva2.level,eva2.m,eva2.p,liquidFraction1,liquidFraction2,m_feed,m_out,m_series,massChange1,massChange2,r_energy1,r_energy2,r_energyTotal,r_mass1,r_mass2,r_massTotal,r_seriesEnergy,r_seriesMass
24,1800,102.5927305615057,1000,285.1167271332433,1256671.255050779,0.04999970104923785,24.98650659797596,1399.747166611095,800,283.9680619367865,1135986.839759647,0.04998151171680939,24.98044329925892,1297.154436049589,0.4999970104923785,0.4998151171680938,0.0004,0.0007772354883967128,0.0004103709222460229,-0.000141672455683306,-0.009159301104848083,-5.093170329928398e-11,3.469722287263721e-10,5.638867150992155e-11,-9.185035544645448e-15,3.851086116668512e-15,-5.341213582532589e-15,0,0
26.4,1800,102.7488239385611,1000,285.1161824433684,1256612.879166821,0.049999646646071,24.98648094697731,1399.696873657886,800,283.9656717049655,1135696.433943391,0.0499797438154987,24.97956558424904,1296.948049719325,0.49999646646071,0.499797438154987,0.0004,0.000775584397754601,0.0004109952957542445,-0.0001673234543417834,-0.01003701611472962,2.148681232938543e-11,3.064997144974768e-10,9.00399754755199e-11,-1.071926293387537e-14,9.669348655094723e-15,-1.054711873393899e-15,0,0
28.8,1800,102.8909977541307,1000,285.1156040048099,1256550.894423273,0.0499995891893761,24.98645386509351,1399.643466321624,800,283.9634063026197,1135419.369252146,0.04997798711195636,24.97869315788657,1296.752468567493,0.499995891893761,0.4997798711195636,0.0004,0.0007740197485399476,0.0004115639910165227,-0.0001944053381421895,-0.0109094424771996,1.733724275254644e-10,-2.000888343900442e-10,-3.274180926382542e-11,-1.135045833364212e-14,5.708974959439672e-15,-5.646524914304507e-15,0,0
31.2,1800,103.020209413241,1000,285.1149948605964,1256485.626248024,0.0499995289544366,24.98642548129389,1399.58722586479,800,283.9612579463006,1135154.81345115,0.04997624090746387,24.97782569032118,1296.567016451549,0.499995289544366,0.4997624090746386,0.0004,0.0007725361316123908,0.000412080837652964,-0.0002227891377550861,-0.01177691004258818,-1.118678483180702e-10,-1.509761204943061e-10,-3.910827217623591e-11,-8.175399376572634e-15,6.515621375768887e-15,-1.667069260413712e-15,0,0
33.6,1800,103.1373528871954,1000,285.1143578445785,1256417.377698837,0.0499994661976137,24.98639591568286,1399.528414214534,800,283.9592193570571,1134901.988286911,0.04997450454865573,24.97696287309601,1296.391061327339,0.499994661976137,0.4997450454865573,0.0004,0.0007711284906187102,0.0004125494115487818,-0.0002523547487882638,-0.0126397272677643,1.637090463191271e-11,-1.855369191616774e-10,-4.038156475871801e-10,-7.968506497008088e-15,7.284103875626613e-15,-6.886852199627924e-16,0,0
36,1800,103.2432627136361,1000,285.113695594609,1256346.430872932,0.04999940115753839,24.98636528005848,1399.467275178558,800,283.9572837289761,1134660.166117192,0.04997277742468387,24.97610441781217,1296.224012464922,0.4999940115753839,0.4997277742468387,0.0004,0.0007697920997193778,0.0004129730508545444,-0.0002829903731687011,-0.01349818255159718,-3.341256160638295e-10,3.865352482534945e-10,4.274625098332763e-11,-1.183585564626388e-14,6.539907504432563e-15,-5.299580219109146e-15,0,0
38.4,1800,103.3387181114945,1000,285.1130105661379,1256273.048360602,0.0499993340563407,24.98633367848857,1399.404035699577,800,283.9554446967443,1134428.666437229,0.04997105896429619,24.97525005475221,1296.065317588083,0.499993340563407,0.4997105896429619,0.0004,0.00076852254070466,0.0004133548724459779,-0.0003145919430806998,-0.0143525456115583,-3.078639565501362e-10,8.640199666842818e-11,-2.191882231272757e-10,-7.6235133657232e-15,8.167078124898808e-15,5.429684479807406e-16,0,0
40.8,1800,103.4244464190156,1000,285.1123050435584,1256197.474458429,0.04999926510067588,24.98630120779142,1399.338906902812,800,283.9536963085628,1134206.852978884,0.04996934863339628,24.97439953173045,1295.914460483796,0.4999926510067588,0.4996934863339628,0.0004,0.0007673156838703689,0.0004136977856760623,-0.0003470626402233279,-0.01520306863332266,4.672529030358419e-11,1.982698449864984e-10,0,-6.040578193894364e-15,5.205905151406398e-15,-8.396061623727746e-16,0,0
43.2,1800,103.501126880645,1000,285.1115811527419,1256119.936509941,0.04999919448285813,24.98626795806716,1399.272085253516,800,283.9520329962239,1133994.130507463,0.04996764593235101,24.97355261282365,1295.770958372871,0.4999919448285813,0.4996764593235101,0.0004,0.0007661676669829703,0.0004140045075225798,-0.0003803123644878781,-0.01604998754012499,6.969003152335063e-11,1.791704562492669e-10,4.856701707467437e-10,-5.331509973088844e-15,4.440892098500626e-15,-8.951173136040325e-16,0,0
45.6,1800,103.5693933357327,1000,285.1108408699101,1256040.645854222,0.04999912238166315,24.98623401307359,1399.203753376675,800,283.9504495539277,1133789.942552424,0.04996595039408133,24.97270907747166,1295.634360040943,0.4999912238166315,0.4996595039408133,0.0004,0.0007650748803275419,0.0004142775733429307,-0.0004142573580594444,-0.01689352289211143,-6.991740519879386e-11,5.911715561524034e-11,-3.183231456205249e-11,-5.127734174770193e-15,1.613292832658431e-15,-3.524958103184872e-15,0,0
