time,Q_total,dp_series,eva1.Qb_flow,eva1.T,eva1.U,eva1.level,eva1.m,eva1.p,eva2.Qb_flow,eva2.T,eva2.U,eva2.level,eva2.m,eva2.p,liquidFraction1,liquidFraction2,m_feed,m_out,m_series,massChange2,r_energy1,r_energy2,r_energyTotal,r_mass1,r_mass2,r_massTotal,r_seriesEnergy,r_seriesMass
679.2,1800,100.486953086966,1000,285.0240852465662,1246730.368005405,0.04998989867412713,24.98186788773965,1391.216069961262,800,283.8934905400579,1118464.849548802,0.04955072127803427,24.76532139059843,1290.729116874296,0.4998989867412713,0.4955072127803427,0.0004,0.0007258329349943706,0.0004019478123478639,-0.2242812097653371,5.384208634495735e-10,8.003553375601768e-10,1.349690137431026e-09,-2.384377417730121e-15,6.550315845288424e-15,4.246603069191224e-15,0,0
681.6,1800,100.4843966381532,1000,285.0240372445936,1246725.10542421,0.04998988907622437,24.98186322528873,1391.211661496573,800,283.8934689987366,1118427.541648855,0.04954916587571016,24.764544071825,1290.72726485842,0.4998988907622437,0.4954916587571016,0.0004,0.0007258181188673607,0.0004019375865526126,-0.2250585285387743,4.456524038687348e-10,1.171429175883532e-09,1.633452484384179e-09,-8.011820373798884e-15,6.994405055138486e-15,-8.881784197001252e-16,0,0
684,1800,100.4818708840107,1000,285.023989819101,1246719.90447049,0.04998987953035986,24.98185858723408,1391.207305987453,800,283.8934477163111,1118390.261286023,0.04954761049654977,24.76376676400274,1290.725435103442,0.4998987953035986,0.4954761049654977,0.0004,0.000725803480827537,0.0004019274835360429,-0.2258358363610284,3.128661774098873e-10,1.091393642127514e-09,1.415173755958676e-09,-6.938893903907228e-15,5.495603971894525e-15,-1.332267629550188e-15,0,0
686.4,1800,100.4793754567008,1000,285.02394296318,1246714.764405681,0.04998987003590986,24.98185397328331,1391.203002798996,800,283.8934266896766,1118353.008129138,0.04954605514027451,24.76298946699998,1290.723627342295,0.4998987003590986,0.4954605514027451,0.0004,0.0007257890187383599,0.0004019175018268033,-0.2266131333637951,4.329194780439138e-10,7.821654435247183e-10,1.233274815604091e-09,-6.360363624668963e-15,6.300515664747763e-15,5.551115123125783e-17,0,0
688.8,1800,100.476909988532,1000,285.0238966699242,1246709.684491445,0.04998986059225095,24.98184938314414,1391.198751296481,800,283.8934059157274,1118315.781847127,0.04954449980660589,24.76221218068503,1290.721841307949,0.4998986059225095,0.4954449980660589,0.0004,0.0007257747304635886,0.0004019076399541282,-0.2273904196787377,4.401954356580973e-10,8.003553375601768e-10,1.484295353293419e-09,-5.768822919360872e-15,1.021405182655144e-14,4.524158825347513e-15,0,0
691.2,1800,100.4744741197624,1000,285.0238509325766,1246704.664005418,0.04998985119877312,24.98184481653061,1391.194550858962,800,283.8933853914271,1118278.582116117,0.04954294449527143,24.76143490492911,1290.7200767392,0.4998985119877312,0.4954294449527142,0.0004,0.0007257606139136005,0.0004018978964790494,-0.2281676954346636,1.218722900375724e-10,7.894414011389017e-10,1.156877260655165e-09,-2.408663546393797e-15,9.298117831235686e-15,6.994405055138486e-15,0,0
693.6,1800,100.4720674953244,1000,285.0238057444686,1246699.702234711,0.04998984185487435,24.98184027316053,1391.190400873613,800,283.893365113778,1118241.408616501,0.04954138920600231,24.7606576396051,1290.718333378288,0.4998984185487435,0.4954138920600231,0.0004,0.0007257466670263056,0.0004018882699812975,-0.2289449607586711,5.093170329928398e-10,8.62200977280736e-10,1.149601303040981e-09,-1.245531455751347e-15,8.271161533457416e-15,7.077671781985373e-15,0,0
696,1800,100.4696897639872,1000,285.0237610990021,1246694.798473894,0.04998983255995898,24.98183575275461,1391.186300734065,800,283.8933450798136,1118204.261032031,0.04953983393853255,24.75988038458724,1290.716610970078,0.4998983255995898,0.4953983393853255,0.0004,0.0007257328877606214,0.0004018787590559486,-0.2297222157765262,5.911715561524034e-10,6.257323548197746e-10,9.895302355289459e-10,-5.720250662033521e-15,8.215650382226158e-15,2.581268532253489e-15,0,0
698.4,1800,100.4673405776266,1000,285.0237169896395,1246689.952024089,0.04998982331343686,24.98183125503623,1391.182249839531,800,283.8933252865957,1118167.139049389,0.04953827869259849,24.75910313975094,1290.714909261904,0.4998982331343685,0.4953827869259849,0.0004,0.0007257192740952323,0.0004018693623105064,-0.2304994606128332,2.528395270928741e-10,9.240466170012951e-10,9.531504474580288e-10,-1.262878690511116e-15,7.494005416219807e-15,6.38378239159465e-15,0,0
700.8,1800,100.4650195936301,1000,285.0236734099448,1246685.16219725,0.04998981411472692,24.98182677973299,1391.178247598582,800,283.8933057312314,1118130.042360151,0.04953672346794074,24.75832590497352,1290.713228004952,0.4998981411472692,0.4953672346794074,0.0004,0.0007257058240396145,0.0004018600783745205,-0.2312766953902461,5.638867150992155e-10,8.87666828930378e-10,1.458829501643777e-09,-4.75400968591444e-15,7.993605777301127e-15,3.302913498259841e-15,0,0
