time,Q_total,dp_series,eva1.Qb_flow,eva1.T,eva1.U,eva1.level,eva1.m,eva1.p,eva2.Qb_flow,eva2.T,eva2.U,eva2.level,eva2.m,eva2.p,liquidFraction1,liquidFraction2,m_feed,m_out,m_series,massChange2,r_energy1,r_energy2,r_energyTotal,r_mass1,r_mass2,r_massTotal,r_seriesEnergy,r_seriesMass
914.4,2500,137.2553864186909,1400,285.7649796644051,1320747.484899074,0.04985768581171077,24.91365026513746,1460.741340299256,1100,284.2703045674234,1153020.179633697,0.04935544672268044,24.66680061581777,1323.485953880565,0.4985768581171077,0.4935544672268044,0.0004,0.0009878876310445211,0.0005490215456747637,-0.3228019845459968,-1.258740667253733e-09,1.749867806211114e-09,4.511093720793724e-10,-3.747002708109903e-16,-2.070565940925917e-14,-2.137179322403426e-14,0,0
916.8,2500,137.2982580797329,1400,285.7657541106792,1320809.446735077,0.04985697431447769,24.91329240721814,1460.815583818421,1100,284.2706614960189,1153007.929658489,0.04935334079450072,24.66574724161655,1323.517325738688,0.4985697431447769,0.4935334079450072,0.0004,0.0009881386059095074,0.0005491930323189317,-0.3238553587472204,-1.59343471750617e-09,1.857188181020319e-09,4.802132025361061e-10,2.955968803064479e-15,-2.65898414397725e-14,-2.386979502944087e-14,0,0
919.2,2500,137.3405998602532,1400,285.7665188878254,1320870.374348034,0.04985626194060102,24.91293414027917,1460.888903647774,1100,284.2710139368012,1152995.203255565,0.04935123446442406,24.6646936778844,1323.548303787521,0.4985626194060102,0.4935123446442406,0.0004,0.0009883864303001663,0.0005493623994410127,-0.32490892247937,-1.491571310907602e-09,1.891748979687691e-09,3.637978807091713e-10,3.816391647148976e-15,-2.264854970235319e-14,-1.915134717478395e-14,0,0
921.6,2500,137.3824180158142,1400,285.76727411527,1320930.280523435,0.0498555487009097,24.9125754693774,1460.961311114937,1100,284.271361947751,1152982.006598276,0.04934912773765499,24.66363992707665,1323.578893099123,0.498555487009097,0.4934912773765499,0.0004,0.0009886311447929856,0.0005495296720632568,-0.325962673287119,-1.404259819537401e-09,1.778971636667848e-09,5.675246939063072e-10,3.913536161803677e-15,-2.564615186884112e-14,-2.203792703880936e-14,0,0
924,2500,137.4237187469253,1400,285.7680199110312,1320989.177895835,0.04985483460610512,24.91221639950993,1461.032817416019,1100,284.2717055859711,1152968.345766361,0.04934702061931937,24.66258599161146,1323.609098669093,0.4985483460610511,0.4934702061931937,0.0004,0.0009888727893527466,0.000549694874987701,-0.327016608752313,-1.222360879182816e-09,1.828084350563586e-09,5.529727786779404e-10,3.649858193455202e-15,-2.114974861910923e-14,-1.781907954523376e-14,0,0
926.4,2500,137.464508193611,1400,285.7687563917211,1321047.078949215,0.04985411966676129,24.91185693561434,1461.103433615796,1100,284.2720449077503,1152954.226752748,0.0493449131144698,24.66153187387244,1323.638925422185,0.4985411966676129,0.493449131144698,0.0004,0.0009891114033774792,0.0005498580327744439,-0.3280707264913296,-1.207808963954449e-09,2.115484676323831e-09,1.091393642127514e-09,3.927413949611491e-15,-2.153832667772804e-14,-1.793010184769628e-14,0,0
928.8,2500,137.5047924438713,1400,285.7694836725763,1321103.99602024,0.04985340389332769,24.91149708256991,1461.173170650433,1100,284.2723799684991,1152939.655456692,0.04934280522808013,24.66047757620602,1323.668378206562,0.4985340389332769,0.4934280522808013,0.0004,0.0009893470256524942,0.0005500191697754853,-0.3291250241577544,-1.091393642127514e-09,2.264641807414591e-09,9.022187441587448e-10,4.746203430272544e-15,-2.248201624865942e-14,-1.804112415015879e-14,0,0
931.2,2500,137.5445775233068,1400,285.7702018674534,1321159.941297684,0.04985268729612871,24.91113684519743,1461.242039327072,1100,284.2727108228614,1152924.637695846,0.04934069696505549,24.65942310092616,1323.697461803765,0.4985268729612871,0.4934069696505549,0.0004,0.0009895796944301199,0.000550178310093227,-0.3301794994376124,-1.156877260655165e-09,1.911757863126695e-09,4.802132025361061e-10,-1.373900992973631e-15,-1.904032487232143e-14,-2.081668171172169e-14,0,0
933.6,2500,137.5838694007241,1400,285.7709110888524,1321214.926825037,0.0498519698853659,24.91077622826023,1461.310050325926,1100,284.2730375246765,1152909.179201963,0.04933858833022858,24.65836845031268,1323.726180925202,0.498519698853659,0.4933858833022858,0.0004,0.0009898094474016144,0.0005503354776028964,-0.3312341500510882,-1.105945557355881e-09,1.695298124104738e-09,5.384208634495735e-10,-6.938893903907228e-17,-2.453592884421596e-14,-2.492450690283476e-14,0,0
936,2500,137.6226739882916,1400,285.7716114479311,1321268.964501951,0.04985125167111911,24.91041523646473,1461.377214201579,1100,284.2733601269917,1152893.285622399,0.04933647932836112,24.65731362661188,1323.754540213287,0.4985125167111911,0.4933647932836112,0.0004,0.0009900363217062987,0.0005504906959531663,-0.3322889737518864,-1.098669599741697e-09,1.855369191616774e-09,7.130438461899757e-10,-3.608224830031759e-16,-2.592370762499741e-14,-2.664535259100376e-14,0,0
